,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q66,Sex,Sex_3_TEXT,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,Region_3_TEXT,IdPol,IdPol_2_TEXT,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,Control_1,Control_2,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGroup_1,Q37_1,Intragroup_1,Q38_1,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,InterGContacPetrist_1,InterGContacPetrist_2,InterGContacPetrist_3,InterGContacPetrist_4,InterGContacPetrist_5,InterGContacPetrist_6,InterGContacUribi_1,InterGContacUribi_2,InterGContacUribi_3,InterGContacUribi_4,InterGContacUribi_5,InterGContacUribi_6,OutGEmpUribis_1,OutGEmpUribis_2,OutGEmpUribis_3,EmpUribist_1,EmpUribist_2,EmpUribist_3,ConspiracyUribi_1,ConspiracyUribi_2,ConspiracyUribi_3,ConspiracyUribi_4,ConspiracyPetrist_1,ConspiracyPetrist_2,ConspiracyPetrist_3,ConspiracyPetrist_4,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Q64_5_TEXT,Q78
478,2023-09-18 21:08:07,2023-09-18 22:25:35,IP Address,191.102.199.72,100,4647,True,2023-09-18 22:25:35.994000,R_OOjYJoHT9WqsrEB,,,,,4.6457,-74.0901,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,38.0,Técnico o Tecnológico,Ninguna,CALI,Valle del cauca,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Valluno,,Uribista y/o de derecha,,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Extrema derecha,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,En desacuerdo,Un poco de acuerdo,Con algunas,,Con muchísimas,,Nunca,Rara vez,Casi nunca,Algunas veces,Nunca,Nunca,Algunas veces,,,,,,,Nunca,Nunca,Casi nunca,Algunas veces,Algunas veces,Rara vez,En desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,,,,,70,50,51,100,79,Corresponden completamente con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde bastante con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco en desacuerdo,En desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Nada,"Un poco, pero es manejable","Moderadamente, pero es manejable",Algunas veces,Mucho control,Nada,Un poco,"Moderadamente, pero es manejable",Algunas veces,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Para nada de acuerdo,100,,41,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,30000085639
526,2023-09-19 15:16:19,2023-09-19 15:29:27,IP Address,179.19.11.174,100,788,True,2023-09-19 15:29:28.671000,R_1JIoNlRNkrdR0Yx,,,,,4.6115,-74.0833,anonymous,ES,No acepto participar y abandono la encuesta,Una mujer,,34.0,Universitario,Mestizo,CALI,Valle del cauca ,Fuertemente en desacuerdo,,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Valluno,,Sólo de izquierda,,Fuertemente en desacurdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Extrema Izquierda,Fuertemente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Con ninguna,,Con ninguna,Nunca,,Nunca,Nunca,,Casi siempre,Rara vez,Nunca,,Nunca,,Nunca,Nunca,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,,,,,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,87,60,36,18,19,No corresponden para nada con mis sentimientos,,Corresponde muy poco con mis sentimientos,,Corresponde con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde bastante con mis sentimientos,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Algunas veces,Poco control,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,18,12,0,Gustavo Petro,Gustavo Petro,,30000121119
530,2023-09-12 16:10:13,2023-09-12 16:16:19,IP Address,186.27.215.44,29,366,False,2023-09-19 16:26:20.309000,R_BXMd0w7DLn1OxWh,,,,,,,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,58.0,Secundaria,Mestizo,CALI,Valle,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Valluno,,Uribista y/o de derecha,,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Algo en desacuerdo,En desacuerdo,Sí,Nunca,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente de acuerdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,2023-09-26 07:51:07,2023-09-26 08:22:44,IP Address,190.145.4.234,100,1896,True,2023-09-26 08:22:44.989000,R_1IHsibnCUgCT6sD,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,60.0,Posgrado,Blanco,CALI,Valle del Cauca ,Algo en desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Antioqueño,,Uribista y/o de derecha,,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,.Centro,De acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco en desacuerdo,De acuerdo,Completamente de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Con algunas,,Con varias,,Algunas veces,Algunas veces,Rara vez,Algunas veces,Rara vez,Rara vez,Frecuentemente,,,,,,,Rara vez,Rara vez,Rara vez,Algunas veces,Algunas veces,Rara vez,Un poco en desacuerdo,Un poco en desacuerdo,En desacuerdo,,,,Un poco de acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,,,,,70,60,53,89,77,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Cerca de 1 hora al día,Un poco,Un poco,Algunas veces,Mucho control,Cerca de 1 hora al día,Un poco,Un poco,Rara vez. Algunas veces me ganan.,Mucho control,En desacuerdo,En desacuerdo,Para nada de acuerdo,En desacuerdo,En desacuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,96,92,92,Rodolfo Hernández,No votaría,,3000122700usbcali
730,2023-09-28 22:08:31,2023-09-28 22:31:37,IP Address,186.81.100.205,100,1386,True,2023-09-28 22:31:38.833000,R_1OEaUWwE0uVWxAg,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,37.0,Universitario,Blanco,CALI,Valle,De acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Valluno,,Sólo de derecha,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,.Centro,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Nunca,.,De acuerdo,Completamente de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Con varias,,Con varias,,Frecuentemente,Casi siempre,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,,,,,,,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Rara vez,Frecuentemente,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,Completamente en desacuerdo,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,69,95,97,46,86,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponden completamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Completamente de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,75,75,100,No quiero responder,Sergio Fajardo,,30000122711usb
731,2023-09-28 22:03:01,2023-09-28 22:31:51,IP Address,186.81.100.205,100,1729,True,2023-09-28 22:31:51.991000,R_bjXl3fp6r51FRrX,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,36.0,Universitario,Blanco,CALI,Valle del cauca ,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Valluno,,Sólo de izquierda,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,.Centro,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Con varias,,Con varias,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Casi nunca,Rara vez,Algunas veces,Algunas veces,Algunas veces,Algunas veces,,,,,,,,,,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,,,,,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,0,0,16,19,0,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Nada,Un poco,"Moderadamente, pero es manejable",Nunca. Siempre me ganan.,Mucho control,Nada,"Un poco, pero es manejable","Moderadamente, pero es manejable",Algunas veces,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Un poco en desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,12,80,50,Gustavo Petro,Gustavo Petro,,30000122711usb
738,2023-09-30 12:44:11,2023-09-30 13:20:39,IP Address,181.54.0.155,100,2187,True,2023-09-30 13:20:40.145000,R_Op6QsNgCPq6PQCR,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,44.0,Posgrado,Blanco,CALI,Valle del cauca,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,Valluno,,Uribista y/o de derecha,,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,En desacuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,,Completamente de acuerdo,Completamente de acuerdo,Con muy pocas,,Con muchísimas,,Casi siempre,Casi siempre,Frecuentemente,Casi siempre,Casi siempre,Casi siempre,Casi siempre,,,,,,,Nunca,Casi nunca,Casi nunca,Siempre,Siempre,Casi siempre,En desacuerdo,Completamente en desacuerdo,En desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,97,100,100,98,99,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde bastante con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,En desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,,,Para nada de acuerdo,100,19,51,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,
739,2023-09-30 12:44:38,2023-09-30 13:21:29,IP Address,191.106.181.223,100,2211,True,2023-09-30 13:21:30.555000,R_1rjFYyLaYeYyxlB,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,47.0,Universitario,Ninguna,CALI,Valle del cauca,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Algo en desacuerdo,Valluno,,Uribista y/o de derecha,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Completamente en desacuerdo,En desacuerdo,De acuerdo,Un poco de acuerdo,Completamente de acuerdo,En desacuerdo,De acuerdo,Con algunas,,Con bastantes,,Casi nunca,Casi nunca,Algunas veces,Frecuentemente,Rara vez,Algunas veces,Casi nunca,,,,,,,Casi nunca,Casi nunca,Casi nunca,Casi siempre,Casi siempre,Casi siempre,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,82,50,86,91,46,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,100,11,91,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,
748,2023-10-01 11:22:58,2023-10-01 11:38:43,IP Address,191.106.178.203,100,944,True,2023-10-01 11:38:44.144000,R_2P6Yy7DaAxlA2my,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,47.0,Universitario,Ninguna,CALI,Valle del cauca ,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Valluno,,Uribista y/o de derecha,,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,Completamente de acuerdo,De acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,De acuerdo,Con muy pocas,,Con bastantes,,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Rara vez,,,,,,,Nunca,Nunca,Casi nunca,Casi siempre,Casi siempre,Algunas veces,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,86,81,51,87,50,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Un poco en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Un poco en desacuerdo,En desacuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,100,15,67,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,3000000121840
750,2023-10-01 14:49:14,2023-10-01 15:07:37,IP Address,191.111.230.54,100,1103,True,2023-10-01 15:07:37.967000,R_1EiiJPhgfT2lvOq,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,43.0,Secundaria,Ninguna,CALI,Valle del Cauca ,Fuertemente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Valluno,,Sólo de derecha,,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Extrema derecha,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,Con algunas,,Con varias,,Algunas veces,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,,,,,,,Nunca,Nunca,Nunca,Frecuentemente,Frecuentemente,Rara vez,En desacuerdo,En desacuerdo,En desacuerdo,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,9,8,11,,18,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Completo control,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Completo control,De acuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,100,,8,Rodolfo Hernández,Rodolfo Hernández,,30000121417usbcali
752,2023-10-01 14:39:36,2023-10-01 15:18:47,IP Address,191.111.230.54,100,2351,True,2023-10-01 15:18:48.431000,R_3O2lZDSkGKEVPgE,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,43.0,Universitario,Mestizo,CALI,Valle del Cauca,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Valluno,,Sólo de derecha,,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente en desacuerdo,Un poco de acuerdo,En desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Un poco de acuerdo,De acuerdo,Un poco en desacuerdo,Completamente de acuerdo,Con varias,,Con varias,,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,,,,,,,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Completamente de acuerdo,De acuerdo,De acuerdo,,,,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,,,,,0,0,50,0,50,Corresponde algo con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponden completamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,En desacuerdo,Cerca de 1 hora al día,Un poco,Mucho,La mayor parte del tiempo,Mucho control,Más de 8 horas al dia,"Un poco, pero es manejable",Nada,Siempre,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,,Para nada de acuerdo,100,100,100,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,30000121417usbcali
